Name,Username,Password,Email,Score,PreferredCountry,Insignias,Quinielas
Mauricio Fonseca,mfonseca,1234,mfonseca@gmail.com,0,Canada,Peor Global 🗑️,
Rebeca Zamora,rzamora,1234,rzamora@gmail.com,5,Estados Unidos,Rey de los Empates 🤝;Líder de Bellas 🥇;Peor de Bellas 💀,513;514
Steven Alvarado,salvarado,1234,salvarado@gmail.com,0,Australia,Peor Global 🗑️,
Yessenia Duarte,yduarte,1234,yduarte@gmail.com,0,Bosnia y Herzegovina,Peor Global 🗑️,
Cristian Gomez,cgomez,1234,cgomez@gmail.com,0,Catar,Peor Global 🗑️,
Monica Nunez,mnunez,1234,mnunez@gmail.com,0,Suiza,Peor Global 🗑️,
Cristopher Leon,cleon,1234,cleon@gmail.com,0,Marruecos,Peor Global 🗑️,
Erick Porras,eporras,1234,eporras@gmail.com,0,Haiti,Peor Global 🗑️,
Pamela Arias,parias,1234,parias@gmail.com,0,Haiti,Peor Global 🗑️,
David Hidalgo,dhidalgo,1234,dhidalgo@gmail.com,0,Escocia,Peor Global 🗑️,
Lisbeth Ramirez,lramirez,1234,lramirez@gmail.com,0,Escocia,Peor Global 🗑️,
Allan Brenes,abrenes,1234,abrenes@gmail.com,0,Estados Unidos,Peor Global 🗑️,
Johanna Ruiz,jruiz,1234,jruiz@gmail.com,0,Estados Unidos,Peor Global 🗑️,
Fabian Monge,fmonge,1234,fmonge@gmail.com,0,Paraguay,Peor Global 🗑️,
Natalie Campos,ncampos,1234,ncampos@gmail.com,0,Paraguay,Peor Global 🗑️,
Victor Alpizar,valpizar,1234,valpizar@gmail.com,0,Australia,Peor Global 🗑️,
Marisol Quesada,mquesada,1234,mquesada@gmail.com,0,Australia,Peor Global 🗑️,
Eduardo Carvajal,ecarvajal,1234,ecarvajal@gmail.com,0,Turquia,Peor Global 🗑️,
Roxana Fernandez,rfernandez,1234,rfernandez@gmail.com,5,Turquia,Líder de Bellas 🥇;Peor de Bellas 💀,506;513;511;507
Sergio Aguilar,saguilar,1234,saguilar@gmail.com,5,Mexico,Rey de los Empates 🤝,506
Yadira Fallas,yfallas,1234,yfallas@gmail.com,5,Sudafrica,Rey de los Empates 🤝;Líder de Bellas 🥇;Peor de Bellas 💀,513;506;507;508;509;510;511
Kevin Duarte,kduarte,1234,kduarte@gmail.com,0,Canada,Peor Global 🗑️,
Priscila Rojas,projas2,1234,projas2@gmail.com,0,Brasil,Peor Global 🗑️,
Javier Segura,jsegura,1234,jsegura@gmail.com,0,Catar,Peor Global 🗑️,
Melissa Herrera,mherrera,1234,mherrera@gmail.com,0,Australia,Peor Global 🗑️,
